"#","President","Birth date","Presidency start date","Age at start date","Presidency end date","Age at end date","Post-presidency timespan","Death date","Lifespan"
"1","George Washington","Feb 22, 1732","Apr 30, 1789","57 years, 67 days","Mar 4, 1797","65 years, 10 days","01,0151,015 days (2 years, 285 days)","Dec 14, 1799","67 years, 295 days (24,767 days)"
"2","Adams, John A.John Adams","Oct 30, 1735","Mar 4, 1797","61 years, 125 days","Mar 4, 1801","65 years, 125 days","09,2539,253 days (25 years, 122 days)","Jul 4, 1826","90 years, 247 days (33,119 days)"
"3","Thomas Jefferson","Apr 13, 1743","Mar 4, 1801","57 years, 325 days","Mar 4, 1809","65 years, 325 days","06,3316,331 days (17 years, 122 days)","Jul 4, 1826","83 years, 82 days (30,397 days)"
"4","James Madison","Mar 16, 1751","Mar 4, 1809","57 years, 353 days","Mar 4, 1817","65 years, 353 days","07,0567,056 days (19 years, 116 days)","Jun 28, 1836","85 years, 104 days (31,150 days)"
"5","James Monroe","Apr 28, 1758","Mar 4, 1817","58 years, 310 days","Mar 4, 1825","66 years, 310 days","02,3132,313 days (6 years, 122 days)","Jul 4, 1831","73 years, 67 days (26,729 days)"
"6","Adams, John Q. John Q. Adams","Jul 11, 1767","Mar 4, 1825","57 years, 236 days","Mar 4, 1829","61 years, 236 days","06,9306,930 days (18 years, 356 days)","Feb 23, 1848","80 years, 227 days (29,446 days)"
"7","Andrew Jackson","Mar 15, 1767","Mar 4, 1829","61 years, 354 days","Mar 4, 1837","69 years, 354 days","03,0183,018 days (8 years, 96 days)","Jun 8, 1845","78 years, 85 days (28,574 days)"
"8","Martin Van Buren","Dec 5, 1782","Mar 4, 1837","54 years, 89 days","Mar 4, 1841","58 years, 89 days","07,8127,812 days (21 years, 142 days)","Jul 24, 1862","79 years, 231 days (29,085 days)"
"9","William H. Harrison","Feb 9, 1773","Mar 4, 1841","68 years, 23 days","Apr 4, 1841","68 years, 54 days","00,0000 days","Apr 4, 1841","68 years, 54 days (24,890 days)"
"10","John Tyler","Mar 29, 1790","Apr 4, 1841","51 years, 6 days","Mar 4, 1845","54 years, 340 days","06,1646,164 days (16 years, 320 days)","Jan 18, 1862","71 years, 295 days (26,227 days)"
"11","James K. Polk","Nov 2, 1795","Mar 4, 1845","49 years, 122 days","Mar 4, 1849","53 years, 122 days","00,103103 days","Jun 15, 1849","53 years, 225 days (19,583 days)"
"12","Zachary Taylor","Nov 24, 1784","Mar 4, 1849","64 years, 100 days","Jul 9, 1850","65 years, 227 days","00,0000 days","Jul 9, 1850","65 years, 227 days (23,967 days)"
"13","Millard Fillmore","Jan 7, 1800","Jul 9, 1850","50 years, 183 days","Mar 4, 1853","53 years, 56 days","07,6747,674 days (21 years, 4 days)","Mar 8, 1874","74 years, 60 days (27,088 days)"
"14","Franklin Pierce","Nov 23, 1804","Mar 4, 1853","48 years, 101 days","Mar 4, 1857","52 years, 101 days","04,6014,601 days (12 years, 218 days)","Oct 8, 1869","64 years, 319 days (23,695 days)"
"15","James Buchanan","Apr 23, 1791","Mar 4, 1857","65 years, 315 days","Mar 4, 1861","69 years, 315 days","02,6462,646 days (7 years, 89 days)","Jun 1, 1868","77 years, 39 days (28,163 days)"
"16","Abraham Lincoln","Feb 12, 1809","Mar 4, 1861","52 years, 20 days","Apr 15, 1865","56 years, 62 days","00,0000 days","Apr 15, 1865","56 years, 62 days (20,516 days)"
"17","Andrew Johnson","Dec 29, 1808","Apr 15, 1865","56 years, 107 days","Mar 4, 1869","60 years, 65 days","02,3402,340 days (6 years, 149 days)","Jul 31, 1875","66 years, 214 days (24,320 days)"
"18","Ulysses S. Grant","Apr 27, 1822","Mar 4, 1869","46 years, 311 days","Mar 4, 1877","54 years, 311 days","03,0633,063 days (8 years, 141 days)","Jul 23, 1885","63 years, 87 days (23,098 days)"
"19","Rutherford B. Hayes","Oct 4, 1822","Mar 4, 1877","54 years, 151 days","Mar 4, 1881","58 years, 151 days","04,3374,337 days (11 years, 319 days)","Jan 17, 1893","70 years, 105 days (25,673 days)"
"20","James A. Garfield","Nov 19, 1831","Mar 4, 1881","49 years, 105 days","Sep 19, 1881","49 years, 304 days","00,0000 days","Sep 19, 1881","49 years, 304 days (18,202 days)"
"21","Chester A. Arthur","Oct 5, 1829","Sep 19, 1881","51 years, 349 days","Mar 4, 1885","55 years, 150 days","00,624624 days (1 year, 259 days)","Nov 18, 1886","57 years, 44 days (20,863 days)"
"22","Grover Cleveland","Mar 18, 1837","Mar 4, 1885","47 years, 351 days","Mar 4, 1889","51 years, 351 days","05,5905,590 days (15 years, 112 days)","Jun 24, 1908","71 years, 98 days (26,030 days)"
"23","Benjamin Harrison","Aug 20, 1833","Mar 4, 1889","55 years, 196 days","Mar 4, 1893","59 years, 196 days","02,9302,930 days (8 years, 9 days)","Mar 13, 1901","67 years, 205 days (24,676 days)"
"24","Grover Cleveland","Mar 18, 1837","Mar 4, 1893","55 years, 351 days","Mar 4, 1897","59 years, 351 days","05,5905,590 days (15 years, 112 days)","Jun 24, 1908","71 years, 98 days (26,030 days)"
"25","William McKinley","Jan 29, 1843","Mar 4, 1897","54 years, 34 days","Sep 14, 1901","58 years, 228 days","00,0000 days","Sep 14, 1901","58 years, 228 days (21,412 days)"
"26","Theodore Roosevelt","Oct 27, 1858","Sep 14, 1901","42 years, 322 days","Mar 4, 1909","50 years, 128 days","03,5953,595 days (9 years, 308 days)","Jan 6, 1919","60 years, 71 days (21,985 days)"
"27","William H. Taft","Sep 15, 1857","Mar 4, 1909","51 years, 170 days","Mar 4, 1913","55 years, 170 days","06,2136,213 days (17 years, 4 days)","Mar 8, 1930","72 years, 174 days (26,471 days)"
"28","Woodrow Wilson","Dec 28, 1856","Mar 4, 1913","56 years, 66 days","Mar 4, 1921","64 years, 66 days","01,0661,066 days (2 years, 336 days)","Feb 3, 1924","67 years, 37 days (24,507 days)"
"29","Warren G. Harding","Nov 2, 1865","Mar 4, 1921","55 years, 122 days","Aug 2, 1923","57 years, 273 days","00,0000 days","Aug 2, 1923","57 years, 273 days (21,091 days)"
"30","Calvin Coolidge","Jul 4, 1872","Aug 2, 1923","51 years, 29 days","Mar 4, 1929","56 years, 243 days","01,4031,403 days (3 years, 307 days)","Jan 5, 1933","60 years, 185 days (22,099 days)"
"31","Herbert Hoover","Aug 10, 1874","Mar 4, 1929","54 years, 206 days","Mar 4, 1933","58 years, 206 days","11,55311,553 days (31 years, 230 days)","Oct 20, 1964","90 years, 71 days (32,943 days)"
"32","Franklin D. Roosevelt","Jan 30, 1882","Mar 4, 1933","51 years, 33 days","Apr 12, 1945","63 years, 72 days","00,0000 days","Apr 12, 1945","63 years, 72 days (23,082 days)"
"33","Harry S. Truman","May 8, 1884","Apr 12, 1945","60 years, 339 days","Jan 20, 1953","68 years, 257 days","07,2807,280 days (19 years, 341 days)","Dec 26, 1972","88 years, 232 days (32,373 days)"
"34","Dwight D. Eisenhower","Oct 14, 1890","Jan 20, 1953","62 years, 98 days","Jan 20, 1961","70 years, 98 days","02,9892,989 days (8 years, 67 days)","Mar 28, 1969","78 years, 165 days (28,654 days)"
